DPBEMO_NSGA2	0.039678	0.040434	0.039089	0.039026	0.03909	0.03905	0.04074	0.040166	0.041725	0.039121	0.039024	0.039035	0.043726	0.045324	0.039432	0.03903	0.039685	0.041233	0.039035	0.039465								
DPBEMO_MOEAD	0.039254	0.041266	0.040015	0.039012	0.03979	0.038989	0.048153	0.039651	0.03953	0.039248	0.039546	0.038982	0.039143	0.039825	0.04075	0.039947	0.039649	0.057314	0.038976	0.038989								
DPBEMO_R2_IBEA	0.03899	0.038999	0.038989	0.038991	0.038986	0.038994	0.038989	0.03899	0.038995	0.038984	0.038997	0.038991	0.038996	0.038987	0.038993	0.039002	0.052285	0.038987	0.038983	0.038993	0.038988							
MOEADPBO	0.047619	0.039764	0.039182	0.039177	0.039165	0.039162	0.03908	0.039263	0.039368	0.039298	0.040156	0.039112	0.039156	0.039087	0.039369	0.039171	0.039942	0.040652	0.040094	0.039263								
DPBEMO_DTS	0.736949	0.723843	0.766055	0.753404	0.762696	0.760582	0.765195	0.710252	0.681757	0.70698	0.737322	0.7554	0.741661	0.699122	0.762543	0.760775	0.459026	0.768962	0.671739	0.568699	0.705468	0.721059	0.771642	0.769325	0.744767	0.751956	0.746549	0.690537
MOEADPLVF	0.045439	0.039209	0.039682	0.040055	0.042718	0.039504	0.040429	0.193188	0.043986	0.039427	0.039471	0.041313	0.080396	0.039461	0.078446	0.062737	0.046108	0.044504	0.039292	0.039773								
NSGA2_LTR	0.041072	0.040503	0.088596	0.040115	0.089014	0.039739	0.088803	0.040031	0.086366	0.041157	0.088656	0.039681	0.039963	0.08873	0.039463	0.090067	0.039716	0.088799	0.086983	0.040228								
IEMOD	0.039096	0.039089	0.039102	0.039068	0.039299	0.039087	0.039109	0.039216	0.133496	0.039113	0.039125	0.039288	0.039303	0.039085	0.058523	0.039502	0.039045	0.039087	0.454494	0.039416								
